user_id,product,day,payment_on_time_rate,avg_utilization,fico_proxy,defaulted,balance,cash,net_worth_proxy
0,Traditional Revolving Card,30,0.0,0.5600691596009003,542.791700847892,0,1386.1035673797487,0.0,-1386.1035673797487
0,Traditional Revolving Card,90,0.0,0.8975489197983169,502.29412962420196,0,1512.5595790893528,0.0,-1512.5595790893528
0,Traditional Revolving Card,180,0.0,1.0423188997535318,374.9217320295762,1,1711.8452831491024,0.0,-1711.8452831491024
0,Traditional Revolving Card,270,0.0,1.1415089044605886,363.01893146472935,1,1923.2761615069649,0.0,-1923.2761615069649
0,Traditional Revolving Card,365,0.0,1.2366924128421795,351.59691045893845,1,2154.662252909264,46.769648195001324,-2107.8926047142627
1,Traditional Revolving Card,30,0.0,0.5358368923224016,545.6995729213118,0,1658.8217009260286,0.0,-1658.8217009260286
1,Traditional Revolving Card,90,0.0,0.8835350705054511,503.9757915393459,0,1796.2483822625848,0.0,-1796.2483822625848
1,Traditional Revolving Card,180,0.0,1.0249679222326622,377.00384933208056,1,2012.8230834293665,0.0,-2012.8230834293665
1,Traditional Revolving Card,270,0.0,1.1180772486187198,365.8307301657536,1,2242.596611409355,0.0,-2242.596611409355
1,Traditional Revolving Card,365,0.0,1.2058375136335782,355.29949836397066,1,2494.5584843738975,71.36542864671682,-2423.1930557271808
2,Traditional Revolving Card,30,0.0,0.5041181538736967,549.5058215351564,0,1346.0250148730834,0.0,-1346.0250148730834
2,Traditional Revolving Card,90,0.0,0.8773906909133008,504.7131170904039,0,1470.8687811739953,0.0,-1470.8687811739953
2,Traditional Revolving Card,180,0.0,1.0319600702546479,376.1647915694423,1,1667.613700837301,0.0,-1667.613700837301
2,Traditional Revolving Card,270,0.0,1.1351343344368783,363.78387986757457,1,1876.3489504284496,0.0,-1876.3489504284496
2,Traditional Revolving Card,365,0.0,1.233007374195662,352.03911509652056,1,2104.7112328489816,108.27607796607407,-1996.4351548829075
3,Traditional Revolving Card,30,0.0,0.628425150458629,534.5889819449645,0,1356.4272735750264,9.701196893746697,-1346.7260766812797
3,Traditional Revolving Card,90,0.0,0.9214098107568983,499.4308227091722,0,1481.6894929582802,0.0,-1481.6894929582802
3,Traditional Revolving Card,180,0.0,1.0558696843785096,373.29563787457886,1,1679.0938649956013,0.0,-1679.0938649956013
3,Traditional Revolving Card,270,0.0,1.152309126676515,361.72290479881815,1,1888.5287563163536,0.0,-1888.5287563163536
3,Traditional Revolving Card,365,0.0,1.2466488346091114,350.4021398469066,1,2117.6758585800767,0.0,-2117.6758585800767
4,Traditional Revolving Card,30,1.0,0.0,780.0,0,0.0,920.5688982196997,920.5688982196997
4,Traditional Revolving Card,90,1.0,0.0,780.0,0,0.0,1754.3795416669761,1754.3795416669761
4,Traditional Revolving Card,180,1.0,0.0,780.0,0,0.0,3153.561281146347,3153.561281146347
4,Traditional Revolving Card,270,1.0,0.0,780.0,0,0.0,4712.918504725422,4712.918504725422
4,Traditional Revolving Card,365,1.0,0.0,780.0,0,0.0,6764.614718692665,6764.614718692665
5,Traditional Revolving Card,30,0.0,0.6860272766392289,527.6767268032925,0,1164.1052521262445,0.0,-1164.1052521262445
5,Traditional Revolving Card,90,0.0,0.9481585920081782,496.2209689590186,0,1281.6309072705674,0.0,-1281.6309072705674
5,Traditional Revolving Card,180,0.0,1.0811726409930862,370.2592830808296,1,1466.843002875042,0.0,-1466.843002875042
5,Traditional Revolving Card,270,0.0,1.1824153258140544,358.1101609023135,1,1663.342577397525,0.0,-1663.342577397525
5,Traditional Revolving Card,365,0.0,1.2837846949558887,345.9458366052934,1,1877.9795484445156,28.34511624114875,-1849.6344322033667
6,Traditional Revolving Card,30,0.0,0.7758916792982411,516.892998484211,0,1207.4953847786483,0.0,-1207.4953847786483
6,Traditional Revolving Card,90,0.0,0.9778543944342905,492.65747266788514,0,1326.766500718735,0.0,-1326.766500718735
6,Traditional Revolving Card,180,0.0,1.0943809203303465,368.67428956035843,1,1514.7293187197943,0.0,-1514.7293187197943
6,Traditional Revolving Card,270,0.0,1.188908929118683,357.33092850575804,1,1714.1472543719585,0.0,-1714.1472543719585
6,Traditional Revolving Card,365,0.0,1.2857382298355209,345.7114124197375,1,1932.0578833888228,45.50780816445257,-1886.5500752243702
7,Traditional Revolving Card,30,1.0,0.0,780.0,0,0.0,1138.7111511344797,1138.7111511344797
